"","Agent","Cell line","Description"
"GSM3146128","DMSO","SNU601","SNU601 treated DMSO"
"GSM3146129","Ortho","SNU601","SNU601 treated Ortho"
"GSM3146130","Para","SNU601","SNU601 treated Para"
"GSM3146131","Meta","SNU601","SNU601 treated Meta"
"GSM3146132","DMSO","SNU216","SNU216 treated DMSO"
"GSM3146133","Ortho","SNU216","SNU216 treated Ortho"
"GSM3146134","Para","SNU216","SNU216 treated Para"
"GSM3146135","Meta","SNU216","SNU216 treated Meta"
"GSM3146136","DMSO","SNU668","SNU668 treated DMSO"
"GSM3146137","Ortho","SNU668","SNU668 treated Ortho"
"GSM3146138","Para","SNU668","SNU668 treated Para"
"GSM3146139","Meta","SNU668","SNU668 treated Meta"
"GSM3146140","DMSO","AGS","AGS treated DMSO"
"GSM3146141","Ortho","AGS","AGS treated Ortho"
"GSM3146142","Para","AGS","AGS treated Para"
"GSM3146143","Meta","AGS","AGS treated Meta"
"GSM3146144","DMSO","MKN1","MKN1 treated DMSO"
"GSM3146145","Ortho","MKN1","MKN1 treated Ortho"
"GSM3146146","Para","MKN1","MKN1 treated Para"
"GSM3146147","Meta","MKN1","MKN1 treated Meta"
