"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69620","Cell Cycle Checkpoints","89/1126","290/10616",1.68764291316949e-21,2.1179918560277e-18,1.78534855551088e-18,"CDK1/MCM10/SPC25/CENPF/CENPE/AURKB/PLK1/BARD1/DNA2/GTSE1/NDC80/H2BC14/CCNA2/KNL1/CENPI/BRIP1/BLM/PPP2R5D/CDC25A/CDK2/MCM5/CDC7/CCNB1/BUB1/INCENP/CENPA/CCNB2/CHEK2/KNTC1/PPP2R1B/CDC20/RPA1/CKAP5/UBE2C/SPC24/H2AX/PSMA4/ZWINT/CDCA8/NUF2/MCM4/KIF18A/CENPU/RNF8/ATM/BIRC5/CCNE2/PPP2R5B/PPP1CC/SPDL1/ERCC6L/CDC45/MCM2/CHEK1/ORC1/DBF4/SKA1/RFC3/CENPM/H2BC15/CENPQ/YWHAE/WEE1/YWHAQ/RCC2/CENPH/CLSPN/RBBP8/PKMYT1/H4C3/YWHAZ/ZWILCH/H2BC10/MAD2L1/MCM7/MAPRE1/H2BC13/CENPN/SKA2/CCNE1/ZNF385A/NUP85/YWHAH/KIF2A/H2BC9/YWHAB/PSME3/MCM8/H4C5",89
"R-HSA-68886","M Phase","99/1126","391/10616",3.1351602593321e-17,1.9673130627309e-14,1.65833476875198e-14,"CDK1/SPC25/CENPF/CENPE/AURKB/PLK1/ESPL1/LMNB1/NCAPD2/NDC80/H2BC14/KNL1/KIF20A/CENPI/PPP2R5D/CCNB1/BUB1/KIF23/INCENP/CENPA/CEP78/NCAPH/PLK4/CCNB2/NEK2/NCAPG/CEP70/KNTC1/TUBGCP4/PPP2R1B/CDC20/CKAP5/UBE2C/SPC24/H2AX/H3C7/PSMA4/PDS5A/ZWINT/H2AC20/CDCA8/BLZF1/NUF2/PDS5B/KIF18A/ALMS1/H2AC8/CENPU/BIRC5/PTTG1/NCAPD3/PPP2R5B/H3C2/TMPO/PPP1CC/SPDL1/ERCC6L/LMNA/CEP152/SKA1/CENPM/H2BC15/H3C11/CETN2/SET/CENPQ/H3C13/H3-3A/YWHAE/EMD/RAB2A/MCPH1/SMC2/RCC2/HAUS4/CENPH/H2AC4/NUP155/H4C3/NUP188/LPIN2/ZWILCH/H2BC10/MAD2L1/HAUS1/CSNK2A1/MAPRE1/H2BC13/OFD1/CENPN/SKA2/NUP85/KIF2A/H2BC9/NUP50/PSME3/H3C12/CEP63/H4C5",99
"R-HSA-195258","RHO GTPase Effectors","87/1126","324/10616",6.19602469945521e-17,2.59200366593876e-14,2.18491397296579e-14,"SPC25/CENPF/KIF14/CENPE/AURKB/PLK1/PRC1/NDC80/H2BC14/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/FLNA/KNTC1/PPP2R1B/CYBA/ACTB/IQGAP3/CDC20/CKAP5/MYH9/SPC24/H2AX/H3C7/ACTG1/ZWINT/H2AC20/CDCA8/NUF2/DIAPH1/KIF18A/H2AC8/CENPU/BIRC5/PPP2R5B/ACTR3/H3C2/PPP1CC/SPDL1/ERCC6L/SCAI/SKA1/CENPM/H2BC15/DIAPH3/H3C11/CENPQ/H3C13/H3-3A/NF2/CTNNB1/YWHAE/YWHAQ/RCC2/CENPH/H2AC4/KDM4C/CYFIP1/BAIAP2/H4C3/YWHAZ/MAPK14/PKN3/ZWILCH/H2BC10/ARPC1B/MAD2L1/ABI2/ROCK2/MAPRE1/SRF/LIMK2/H2BC13/CENPN/SKA2/NUP85/YWHAH/KIF2A/H2BC9/YWHAB/MYL12A/H3C12/RHOQ/H4C5",87
"R-HSA-68877","Mitotic Prometaphase","62/1126","197/10616",6.9294851716679e-16,2.1741259726108e-13,1.83266647303322e-13,"CDK1/SPC25/CENPF/CENPE/AURKB/PLK1/NCAPD2/NDC80/KNL1/CENPI/PPP2R5D/CCNB1/BUB1/INCENP/CENPA/CEP78/NCAPH/PLK4/CCNB2/NEK2/NCAPG/CEP70/KNTC1/TUBGCP4/PPP2R1B/CDC20/CKAP5/SPC24/PDS5A/ZWINT/CDCA8/NUF2/PDS5B/KIF18A/ALMS1/CENPU/BIRC5/PPP2R5B/PPP1CC/SPDL1/ERCC6L/CEP152/SKA1/CENPM/CETN2/CENPQ/YWHAE/SMC2/RCC2/HAUS4/CENPH/ZWILCH/MAD2L1/HAUS1/CSNK2A1/MAPRE1/OFD1/CENPN/SKA2/NUP85/KIF2A/CEP63",62
"R-HSA-141424","Amplification of signal from the kinetochores","39/1126","94/10616",6.89935427709512e-15,1.4431149362924e-12,1.21646509622467e-12,"SPC25/CENPF/CENPE/AURKB/PLK1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/KNTC1/PPP2R1B/CDC20/CKAP5/SPC24/ZWINT/CDCA8/NUF2/KIF18A/CENPU/BIRC5/PPP2R5B/PPP1CC/SPDL1/ERCC6L/SKA1/CENPM/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/NUP85/KIF2A",39
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","39/1126","94/10616",6.89935427709512e-15,1.4431149362924e-12,1.21646509622467e-12,"SPC25/CENPF/CENPE/AURKB/PLK1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/KNTC1/PPP2R1B/CDC20/CKAP5/SPC24/ZWINT/CDCA8/NUF2/KIF18A/CENPU/BIRC5/PPP2R5B/PPP1CC/SPDL1/ERCC6L/SKA1/CENPM/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/NUP85/KIF2A",39
"R-HSA-194315","Signaling by Rho GTPases","101/1126","451/10616",8.88315354675007e-14,1.59262252873876e-11,1.34249162623817e-11,"SPC25/CENPF/KIF14/CENPE/AURKB/PLK1/PRC1/NDC80/H2BC14/KNL1/CENPI/ARHGAP11A/PPP2R5D/NET1/BUB1/DEPDC1B/INCENP/CENPA/FLNA/ECT2/ARHGAP11B/ITSN1/KNTC1/PPP2R1B/CYBA/ACTB/IQGAP3/CDC20/CKAP5/MYH9/SPC24/H2AX/H3C7/ACTG1/ZWINT/H2AC20/CDCA8/NUF2/DIAPH1/ARHGEF39/KIF18A/H2AC8/CENPU/VAV2/BIRC5/PPP2R5B/ACTR3/H3C2/PPP1CC/SPDL1/ERCC6L/ARHGAP18/SCAI/SKA1/CENPM/H2BC15/DIAPH3/RHOBTB2/H3C11/CENPQ/H3C13/H3-3A/NF2/CTNNB1/ARHGAP10/YWHAE/TRIP10/YWHAQ/ARHGAP23/RCC2/CENPH/H2AC4/KDM4C/CYFIP1/BAIAP2/H4C3/YWHAZ/MAPK14/PKN3/ZWILCH/H2BC10/ARPC1B/MAD2L1/ABI2/ROCK2/MAPRE1/ARHGEF11/SRF/LIMK2/H2BC13/CENPN/SKA2/NUP85/YWHAH/KIF2A/H2BC9/YWHAB/MYL12A/H3C12/RHOQ/H4C5",101
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion","44/1126","124/10616",1.05978673716255e-13,1.66254044392376e-11,1.40142851427417e-11,"CDK1/SPC25/CENPF/CENPE/AURKB/PLK1/NDC80/KNL1/CENPI/PPP2R5D/CCNB1/BUB1/INCENP/CENPA/CCNB2/KNTC1/PPP2R1B/CDC20/CKAP5/SPC24/PDS5A/ZWINT/CDCA8/NUF2/PDS5B/KIF18A/CENPU/BIRC5/PPP2R5B/PPP1CC/SPDL1/ERCC6L/SKA1/CENPM/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/NUP85/KIF2A",44
"R-HSA-453279","Mitotic G1-G1/S phases","48/1126","149/10616",5.22515740878651e-13,7.06436564686877e-11,5.95486473063796e-11,"RRM2/CDK1/MCM10/MYBL2/TOP2A/CCNA2/CDC25A/CDK2/MCM5/CDC7/CCNB1/TYMS/GMNN/TK1/SKP2/CCND1/PPP2R1B/RPA1/PSMA4/LIN37/RBL1/MCM4/LIN9/CCNE2/E2F1/CDC45/MCM2/CABLES1/E2F3/MAX/CDK7/ORC1/DBF4/LYN/CDK6/E2F2/PCNA/WEE1/HDAC1/TFDP2/POLA1/CKS1B/POLE2/MCM7/CCNE1/CDT1/PSME3/MCM8",48
"R-HSA-69618","Mitotic Spindle Checkpoint","40/1126","110/10616",5.62897661105081e-13,7.06436564686877e-11,5.95486473063796e-11,"SPC25/CENPF/CENPE/AURKB/PLK1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/KNTC1/PPP2R1B/CDC20/CKAP5/UBE2C/SPC24/ZWINT/CDCA8/NUF2/KIF18A/CENPU/BIRC5/PPP2R5B/PPP1CC/SPDL1/ERCC6L/SKA1/CENPM/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/NUP85/KIF2A",40
"R-HSA-5663220","RHO GTPases Activate Formins","45/1126","138/10616",1.73775336399761e-12,1.98261861074273e-10,1.67123648882067e-10,"SPC25/CENPF/CENPE/AURKB/PLK1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/KNTC1/PPP2R1B/ACTB/CDC20/CKAP5/SPC24/ACTG1/ZWINT/CDCA8/NUF2/DIAPH1/KIF18A/CENPU/BIRC5/PPP2R5B/PPP1CC/SPDL1/ERCC6L/SCAI/SKA1/CENPM/DIAPH3/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/SRF/CENPN/SKA2/NUP85/KIF2A",45
"R-HSA-69206","G1/S Transition","42/1126","131/10616",1.7938009773863e-11,1.8760168555165e-09,1.58137717743266e-09,"RRM2/CDK1/MCM10/CCNA2/CDC25A/CDK2/MCM5/CDC7/CCNB1/TYMS/GMNN/TK1/SKP2/CCND1/PPP2R1B/RPA1/PSMA4/LIN37/RBL1/MCM4/LIN9/CCNE2/E2F1/CDC45/MCM2/CABLES1/MAX/CDK7/ORC1/DBF4/PCNA/WEE1/HDAC1/TFDP2/POLA1/CKS1B/POLE2/MCM7/CCNE1/CDT1/PSME3/MCM8",42
"R-HSA-1538133","G0 and Early G1","16/1126","27/10616",9.72693224113247e-10,9.39023074047789e-08,7.91543878731833e-08,"CDK1/MYBL2/TOP2A/CCNA2/CDC25A/CDK2/LIN37/RBL1/LIN9/CCNE2/E2F1/MAX/PCNA/HDAC1/TFDP2/CCNE1",16
"R-HSA-69205","G1/S-Specific Transcription","16/1126","28/10616",2.04670147479681e-09,1.72834033086149e-07,1.45689413505205e-07,"RRM2/CDK1/TYMS/TK1/LIN37/RBL1/LIN9/E2F1/CDC45/ORC1/PCNA/HDAC1/TFDP2/POLA1/CCNE1/CDT1",16
"R-HSA-69481","G2/M Checkpoints","45/1126","167/10616",2.0657454153723e-09,1.72834033086149e-07,1.45689413505205e-07,"CDK1/MCM10/BARD1/DNA2/GTSE1/H2BC14/BRIP1/BLM/CDC25A/CDK2/MCM5/CDC7/CCNB1/CCNB2/CHEK2/RPA1/H2AX/PSMA4/MCM4/RNF8/ATM/CDC45/MCM2/CHEK1/ORC1/DBF4/RFC3/H2BC15/YWHAE/WEE1/YWHAQ/CLSPN/RBBP8/PKMYT1/H4C3/YWHAZ/H2BC10/MCM7/H2BC13/YWHAH/H2BC9/YWHAB/PSME3/MCM8/H4C5",45
"R-HSA-2559583","Cellular Senescence","49/1126","193/10616",3.54615528532300e-09,2.6491421120099e-07,2.23307848401757e-07,"H1-5/LMNB1/H2BC14/CCNA2/CDK2/H1-2/UBE2C/H2AX/H3C7/H2AC20/H1-4/KDM6B/MOV10/H2AC8/ATM/SUZ12/CCNE2/E2F1/H3C2/E2F3/CDK6/EZH2/TERF2IP/H2BC15/H3C11/E2F2/RELA/EHMT2/TXN/H3C13/H3-3A/ID1/RPS6KA1/TFDP2/H2AC4/H4C3/TERF1/CBX6/MAPK14/H2BC10/H2BC13/MAPK9/CCNE1/H2BC9/CEBPB/HMGA2/MAPKAPK2/H3C12/H4C5",49
"R-HSA-68882","Mitotic Anaphase","50/1126","199/10616",3.58847935491381e-09,2.6491421120099e-07,2.23307848401757e-07,"SPC25/CENPF/CENPE/AURKB/PLK1/ESPL1/LMNB1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/KNTC1/PPP2R1B/CDC20/CKAP5/UBE2C/SPC24/PSMA4/PDS5A/ZWINT/CDCA8/NUF2/PDS5B/KIF18A/CENPU/BIRC5/PTTG1/PPP2R5B/TMPO/PPP1CC/SPDL1/ERCC6L/LMNA/SKA1/CENPM/CENPQ/EMD/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/NUP85/KIF2A/PSME3",50
"R-HSA-3700989","Transcriptional Regulation by TP53","76/1126","365/10616",4.13783183760782e-09,2.84343054219552e-07,2.39685275311931e-07,"CDK1/AURKB/BARD1/DNA2/E2F8/FANCI/CCNA2/CARM1/BRIP1/BLM/CDK2/CCNB1/GLS/CHEK2/FANCD2/PPP2R1B/RPA1/BID/NELFCD/RBL1/JMY/SUPT16H/MOV10/ERCC2/AURKA/ATM/BIRC5/CASP6/CCNE2/TPX2/CCNT1/BNIP3L/STEAP3/E2F1/CNOT2/PRDX1/CHEK1/NDUFA4/CDK7/CASP2/PIP4K2B/TAF13/RFC3/COX7A2L/EHMT2/TXN/POLR2C/BRD7/CYCS/PCNA/YWHAE/POLR2L/YWHAQ/HDAC1/TFDP2/LAMTOR3/GPI/PRDX2/RRAGC/RBBP8/PRKAB2/HIPK2/YWHAZ/MAPK14/CSNK2A1/DDB2/TAF7/CCNE1/ZNF385A/PLK2/YWHAH/BCL6/TP53BP2/YWHAB/POLR2K/RRM2B",76
"R-HSA-2555396","Mitotic Metaphase and Anaphase","50/1126","200/10616",4.30479524316453e-09,2.84343054219552e-07,2.39685275311931e-07,"SPC25/CENPF/CENPE/AURKB/PLK1/ESPL1/LMNB1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/KNTC1/PPP2R1B/CDC20/CKAP5/UBE2C/SPC24/PSMA4/PDS5A/ZWINT/CDCA8/NUF2/PDS5B/KIF18A/CENPU/BIRC5/PTTG1/PPP2R5B/TMPO/PPP1CC/SPDL1/ERCC6L/LMNA/SKA1/CENPM/CENPQ/EMD/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/NUP85/KIF2A/PSME3",50
"R-HSA-2467813","Separation of Sister Chromatids","46/1126","188/10616",3.65378433773165e-08,2.19841771675541e-06,1.85314305333545e-06,"SPC25/CENPF/CENPE/AURKB/PLK1/ESPL1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/KNTC1/PPP2R1B/CDC20/CKAP5/UBE2C/SPC24/PSMA4/PDS5A/ZWINT/CDCA8/NUF2/PDS5B/KIF18A/CENPU/BIRC5/PTTG1/PPP2R5B/PPP1CC/SPDL1/ERCC6L/SKA1/CENPM/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/NUP85/KIF2A/PSME3",46
"R-HSA-75035","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","10/1126","13/10616",3.67862725512858e-08,2.19841771675541e-06,1.85314305333545e-06,"CDK1/CCNB1/CHEK2/CHEK1/YWHAE/WEE1/YWHAQ/YWHAZ/YWHAH/YWHAB",10
"R-HSA-68962","Activation of the pre-replicative complex","16/1126","33/10616",4.6840855069384e-08,2.53311652437952e-06,2.135275409521e-06,"MCM10/CDK2/MCM5/CDC7/GMNN/RPA1/MCM4/CDC45/MCM2/ORC1/DBF4/POLA1/POLE2/MCM7/CDT1/MCM8",16
"R-HSA-156711","Polo-like kinase mediated events","11/1126","16/10616",4.8178332765783e-08,2.53311652437952e-06,2.135275409521e-06,"CENPF/FOXM1/MYBL2/PLK1/CDC25A/CCNB1/CCNB2/LIN37/LIN9/WEE1/PKMYT1",11
"R-HSA-73894","DNA Repair","68/1126","331/10616",4.84420689921183e-08,2.53311652437952e-06,2.135275409521e-06,"BARD1/DNA2/TIMELESS/FANCI/H2BC14/CCNA2/BRIP1/KPNA2/BLM/CDK2/RAD51AP1/DTL/CHEK2/FANCD2/RAD51/POLQ/ACTB/RPA1/H2AX/H2AC20/PRKDC/FANCA/H2AC8/ERCC2/RNF8/ATM/GEN1/FANCL/CHD1L/UBE2T/TIPIN/CHEK1/CDK7/NEIL3/RFC3/TERF2IP/H2BC15/ASCC3/CETN2/POLR2C/PCNA/UNG/XRCC2/POLR2L/PCLAF/PIAS3/H2AC4/SUMO2/CLSPN/RBBP8/POLB/H4C3/TERF1/DCLRE1C/FANCE/H2BC10/POLE2/H2BC13/COPS6/DDB2/RAD18/XPC/PIAS1/SPIDR/FANCB/H2BC9/POLR2K/H4C5",68
