"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69620","Cell Cycle Checkpoints","92/1152","290/10616",1.27094746756331e-22,1.60139380912977e-19,1.33115024234262e-19,"CDK1/MCM10/SPC25/CENPF/CENPE/PLK1/AURKB/BARD1/DNA2/H2BC14/NDC80/CCNA2/KNL1/GTSE1/CDK2/BRIP1/CENPI/BLM/PPP2R5D/BUB1/MCM5/CCNB1/CDC7/CDC25A/INCENP/CENPA/CCNB2/CHEK2/PPP2R1B/RPA1/PSMA4/CDC20/KNTC1/SPC24/CKAP5/UBE2C/ZWINT/NUF2/CDCA8/H2AX/MCM4/KIF18A/ATM/RNF8/PPP1CC/BIRC5/CENPU/PPP2R5B/CCNE2/ERCC6L/H2BC15/DBF4/MCM2/CDC45/CHEK1/SPDL1/CENPM/RFC3/SKA1/ORC1/YWHAE/CENPQ/H2BC10/YWHAQ/WEE1/H4C3/RCC2/CENPH/PKMYT1/ZWILCH/CLSPN/H2BC4/RBBP8/YWHAZ/MAD2L1/MAPRE1/MCM7/CENPN/SKA2/H2BC13/YWHAH/ZNF385A/CCNE1/KIF2A/NUP85/YWHAB/CDC26/PSME3/MCM8/CDC6/BRCC3/H4C5",92
"R-HSA-195258","RHO GTPase Effectors","91/1152","324/10616",2.10471705450959e-18,1.32597174434104e-15,1.10220708907213e-15,"SPC25/CENPF/KIF14/CENPE/PLK1/AURKB/PRC1/H2BC14/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/PPP2R1B/FLNA/CDC20/KNTC1/CYBA/IQGAP3/SPC24/H2AC20/CKAP5/MYH9/ACTG1/ACTB/ZWINT/NUF2/CDCA8/H2AX/H3C7/KIF18A/DIAPH1/ACTR3/H2AC8/PPP1CC/BIRC5/CENPU/PPP2R5B/H3C2/ERCC6L/H2BC15/SCAI/H3C13/SPDL1/CENPM/SKA1/H3C11/DIAPH3/YWHAE/CTNNB1/NF2/CENPQ/H2BC10/YWHAQ/H2AC4/H4C3/RCC2/CENPH/BAIAP2/CYFIP1/ABI2/ZWILCH/PKN3/H2BC4/ARPC1B/YWHAZ/MAD2L1/MAPRE1/KDM4C/MAPK14/ROCK2/CENPN/SKA2/H2BC13/H3-3A/SRF/YWHAH/RHOQ/KIF2A/NUP85/YWHAB/LIMK2/MYL12A/ROCK1/PIK3C3/ARPC5/PRKCD/ACTR2/H4C5",91
"R-HSA-68886","M Phase","101/1152","391/10616",1.63444072650905e-17,6.864651051338e-15,5.70620534342633e-15,"CDK1/SPC25/CENPF/CENPE/PLK1/AURKB/LMNB1/ESPL1/NCAPD2/H2BC14/NDC80/KNL1/KIF20A/CENPI/PPP2R5D/BUB1/CCNB1/KIF23/NCAPH/PLK4/CEP70/CEP78/INCENP/CENPA/CCNB2/NCAPG/NEK2/PPP2R1B/TUBGCP4/PSMA4/CDC20/KNTC1/SPC24/H2AC20/CKAP5/UBE2C/ZWINT/BLZF1/PDS5A/NUF2/CDCA8/H2AX/H3C7/PDS5B/KIF18A/H2AC8/PPP1CC/BIRC5/CENPU/NCAPD3/PPP2R5B/ALMS1/H3C2/PTTG1/ERCC6L/H2BC15/TMPO/CEP152/LMNA/H3C13/SPDL1/CENPM/SKA1/H3C11/YWHAE/CETN2/CENPQ/H2BC10/MCPH1/H2AC4/SMC2/SET/RAB2A/H4C3/RCC2/CENPH/NUP155/HAUS4/EMD/ZWILCH/H2BC4/HAUS1/NUP188/MAD2L1/MAPRE1/CENPN/SKA2/H2BC13/H3-3A/LPIN2/KIF2A/OFD1/MASTL/NUP85/CSNK2A1/NUP50/CNEP1R1/CDC26/PSME3/NEK6/H4C5",101
"R-HSA-68877","Mitotic Prometaphase","61/1152","197/10616",8.10202062726186e-15,2.08986329006344e-12,1.73718794788063e-12,"CDK1/SPC25/CENPF/CENPE/PLK1/AURKB/NCAPD2/NDC80/KNL1/CENPI/PPP2R5D/BUB1/CCNB1/NCAPH/PLK4/CEP70/CEP78/INCENP/CENPA/CCNB2/NCAPG/NEK2/PPP2R1B/TUBGCP4/CDC20/KNTC1/SPC24/CKAP5/ZWINT/PDS5A/NUF2/CDCA8/PDS5B/KIF18A/PPP1CC/BIRC5/CENPU/PPP2R5B/ALMS1/ERCC6L/CEP152/SPDL1/CENPM/SKA1/YWHAE/CETN2/CENPQ/SMC2/RCC2/CENPH/HAUS4/ZWILCH/HAUS1/MAD2L1/MAPRE1/CENPN/SKA2/KIF2A/OFD1/NUP85/CSNK2A1",61
"R-HSA-194315","Signaling by Rho GTPases","105/1152","451/10616",8.29310829390252e-15,2.08986329006344e-12,1.73718794788063e-12,"SPC25/CENPF/KIF14/CENPE/PLK1/AURKB/PRC1/H2BC14/NDC80/KNL1/ARHGAP11A/CENPI/PPP2R5D/BUB1/NET1/DEPDC1B/INCENP/CENPA/ECT2/ITSN1/ARHGAP11B/PPP2R1B/FLNA/CDC20/KNTC1/CYBA/IQGAP3/SPC24/H2AC20/CKAP5/MYH9/ACTG1/ACTB/ZWINT/ARHGEF39/NUF2/CDCA8/H2AX/H3C7/KIF18A/DIAPH1/ACTR3/H2AC8/PPP1CC/BIRC5/CENPU/PPP2R5B/H3C2/ERCC6L/H2BC15/SCAI/VAV2/ARHGAP18/H3C13/SPDL1/CENPM/SKA1/H3C11/RHOBTB2/DIAPH3/YWHAE/CTNNB1/NF2/CENPQ/H2BC10/YWHAQ/ARHGAP10/H2AC4/TRIP10/H4C3/RCC2/CENPH/BAIAP2/CYFIP1/ABI2/ZWILCH/PKN3/H2BC4/ARPC1B/YWHAZ/MAD2L1/MAPRE1/ARHGEF11/KDM4C/MAPK14/ROCK2/ARHGAP23/CENPN/SKA2/H2BC13/H3-3A/SRF/YWHAH/RHOQ/KIF2A/NUP85/YWHAB/LIMK2/MYL12A/ROCK1/PIK3C3/ARPC5/PRKCD/ACTR2/H4C5",105
"R-HSA-141424","Amplification of signal from the kinetochores","39/1152","94/10616",1.47397302688422e-14,2.65315144839159e-12,2.20541828834556e-12,"SPC25/CENPF/CENPE/PLK1/AURKB/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/PPP2R1B/CDC20/KNTC1/SPC24/CKAP5/ZWINT/NUF2/CDCA8/KIF18A/PPP1CC/BIRC5/CENPU/PPP2R5B/ERCC6L/SPDL1/CENPM/SKA1/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/KIF2A/NUP85",39
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","39/1152","94/10616",1.47397302688422e-14,2.65315144839159e-12,2.20541828834556e-12,"SPC25/CENPF/CENPE/PLK1/AURKB/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/PPP2R1B/CDC20/KNTC1/SPC24/CKAP5/ZWINT/NUF2/CDCA8/KIF18A/PPP1CC/BIRC5/CENPU/PPP2R5B/ERCC6L/SPDL1/CENPM/SKA1/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/KIF2A/NUP85",39
"R-HSA-69618","Mitotic Spindle Checkpoint","41/1152","110/10616",2.36819214576536e-13,3.33612255854287e-11,2.77313445760247e-11,"SPC25/CENPF/CENPE/PLK1/AURKB/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/PPP2R1B/CDC20/KNTC1/SPC24/CKAP5/UBE2C/ZWINT/NUF2/CDCA8/KIF18A/PPP1CC/BIRC5/CENPU/PPP2R5B/ERCC6L/SPDL1/CENPM/SKA1/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/KIF2A/NUP85/CDC26",41
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion","44/1152","124/10616",2.38294468467348e-13,3.33612255854287e-11,2.77313445760247e-11,"CDK1/SPC25/CENPF/CENPE/PLK1/AURKB/NDC80/KNL1/CENPI/PPP2R5D/BUB1/CCNB1/INCENP/CENPA/CCNB2/PPP2R1B/CDC20/KNTC1/SPC24/CKAP5/ZWINT/PDS5A/NUF2/CDCA8/PDS5B/KIF18A/PPP1CC/BIRC5/CENPU/PPP2R5B/ERCC6L/SPDL1/CENPM/SKA1/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/KIF2A/NUP85",44
"R-HSA-453279","Mitotic G1-G1/S phases","49/1152","149/10616",2.93862845052763e-13,3.70267184766481e-11,3.07782664028946e-11,"RRM2/CDK1/MCM10/MYBL2/TOP2A/CCNA2/CDK2/MCM5/CCNB1/CDC7/CDC25A/TYMS/PPP2R1B/TK1/GMNN/RPA1/PSMA4/SKP2/CCND1/RBL1/LIN37/MCM4/LIN9/CCNE2/E2F1/LYN/MAX/DBF4/CABLES1/MCM2/CDC45/E2F2/CDK6/ORC1/E2F3/WEE1/CDK7/TFDP2/PCNA/HDAC1/CKS1B/POLA1/POLE2/MCM7/CCNE1/CDT1/PSME3/MCM8/CDC6",49
