"","SNU601_DMSO","SNU601_Ortho","SNU601_Para","SNU601_Meta","SNU216_DMSO","SNU216_Ortho","SNU216_Para","SNU216_Meta","SNU668_DMSO","SNU688_Ortho","SNU688_Para","SNU688_Meta","AGS_DMSO","AGS_Ortho","AGS_Para","AGS_Meta","MKN1_DMSO","MKN1_Ortho","MKN1_Para","MKN1_Meta"
"ZSCAN30",5.71642644077723,5.62365251985633,7.37846252476247,5.88272683130726,5.80336360196862,5.62315653469027,7.07090914885619,5.86848416500557,4.75272306416165,5.01892311137511,7.11321345575519,4.47712209512886,5.09212829370167,5.15616434332135,6.33750676221877,5.43626898880113,5.48382945342453,6.12289863932359,7.01389044730723,5.29248855872905
"SNORA36C",3.56664105056008,4.24320855437515,4.58626890280775,4.37030567662086,3.42492615806371,3.98571195216334,3.46407998042018,3.41136008046104,3.55838500984963,3.55817314735545,4.88910285868762,3.46407998042018,3.54931285281536,4.22478733740375,5.30757127805297,4.4500072367823,2.95015868066307,3.44807938445273,3.87894931803613,3.04481369769824
"MIR924",6.30296425950718,6.27468448952721,3.26168585898073,6.39361508322215,6.47111070973398,5.92461067413177,3.73236561151466,6.2846259096678,4.27393647823707,3.92919909139912,3.27901275166889,4.67336327405594,5.3277084108263,4.83562479081169,3.19715528889162,5.10280075968125,6.22231918550929,6.61885789123377,3.96682026771864,6.21899006643158
"MIR938",4.44225127786269,4.21497814873266,2.64568549029782,4.22751710083001,5.0281535130153,4.28555365567385,3.2691100406666,4.4676078960103,5.0236230604053,5.40137852773534,3.0064692277523,5.07408404924791,3.64068340336726,4.36056994246813,2.89918050725292,4.07358964606465,3.07185595729883,2.47838898651745,2.61941586321067,3.08956279388366
"MIR891A",6.03696747132028,6.29826236762948,4.58425642868516,5.99789842503201,5.9060556737629,6.48338755039506,5.12469620324662,6.14338691246825,6.67873475973688,6.13123498071887,4.95006922544266,6.25429719564298,6.7940497153606,6.91331736711657,5.28202519811192,6.69154111779706,7.54823362587919,7.38566339329894,5.55272035841975,7.65164933519853
"LOC100128340",6.30982236290974,5.92652681796667,7.72717703896606,5.73937320353798,5.3302569245461,4.55148254771176,5.64229960470633,5.3653591241103,5.40737281750137,4.97222652686362,8.33794434026896,5.20654520387558,5.31099132020946,5.5435203047715,6.22564794177027,5.25538932673605,5.18354348599327,5.17206765280291,6.33614974514629,5.58404076551397
"LOC100129034",8.12738236578774,8.16877934062707,5.43400289362199,8.34301959858897,7.24823122405723,7.14663388231105,5.7985751656056,7.27840347935237,6.00118479323166,6.11045476499431,5.36890185846142,6.16861277001233,6.58377033665866,6.67976869527669,5.32384138385486,6.70343116287702,5.7662604949696,5.71464927387757,5.17801509079189,5.72416889413261
"RPL19P12",6.05389054285156,5.96272255610074,3.95865817412798,5.82508264728556,5.81297720082263,5.95216636979395,4.74778796197492,5.62754283323855,5.95321228323193,6.29217245986844,4.75495701315407,5.97477977971132,4.86700813046683,5.22891860649936,4.1043381221074,5.22600953935499,4.90836833042377,5.04823488557693,3.90415398634565,4.50355449762623
"LOC100129534",5.20385952849447,5.22619043506067,6.8367061975304,5.39484880821401,5.03317541121849,5.02132980668283,6.61704110440631,5.01611907206183,5.09968267379125,4.79249205405105,6.38862980910113,5.13713641760493,5.24500892385298,5.03676135240807,5.25434773833224,4.86534778861585,5.89388796955153,5.79822292593572,7.26499982461078,5.60342704391232
"FRG1HP",6.63884064585225,6.5084210922918,7.80183907525277,6.2214547152543,7.52972749194434,7.41212486457363,8.39158855672517,7.25394356557403,6.188691790931,6.12482255347707,7.95450545429263,6.14838357144161,5.82138352393113,5.37740936567648,7.29137141857995,6.06348361028943,7.07258392097601,7.11420761058367,8.36127169381838,7.29322999547039
"PAXIP1-AS2",4.9934942806811,5.07526636622621,5.9434888056398,5.46896377192711,5.85558181481754,6.19493539733189,8.08555747281895,5.99177561660035,4.94691592189605,4.93593562731433,5.41591221881089,5.18775630731054,4.85832150841274,5.05550639737904,6.37064979714846,5.0806057789025,5.94661826644537,6.08831252630993,7.19184415485026,5.94095856180338
"CD24",9.95585871422293,10.2097550221672,8.80745242130024,10.123502240921,11.0060745998515,11.2681271938015,9.82548801559137,11.2428362514519,9.19766629349039,9.34988724832502,8.66105187250303,9.21959718256928,10.0428779265677,10.1478806065682,9.32494734633136,10.1374934876538,9.92430563179327,10.0578110182618,9.29437952473288,10.0744238683043
"TPT1-AS1",6.51136450176884,6.53518895943316,9.33510395382675,6.94271247128039,7.22105185097392,7.45983609696555,8.85050159361353,7.31452476304182,8.36723058469084,8.30962216125347,8.46208334530085,8.35393857233233,7.57135680646989,7.61915402011774,8.6211432940094,7.81973288778065,6.82822644065434,7.02192636910281,8.49419392210186,7.11297572363521
"TROAP",7.03497062586529,7.13513706171715,5.04135249546486,6.77605902462552,6.78451425999154,6.94275695886768,5.68623079282751,6.80202182313116,6.62894858241688,6.54640992892159,5.02664236227306,6.67337661261019,6.82861746305985,6.85714266841618,5.39138601582668,6.84898646167988,7.01138462805431,6.77857753591189,5.52213209412125,6.99950978265707
"PIGK",7.49615337242217,7.53087034820187,6.90736780489552,7.73057984852002,8.0096280667991,8.26843546873274,7.3579165525504,8.32567302379898,8.96939630034365,9.02195630355938,5.99597625578971,8.99817827502996,8.10626807078671,8.18271989621637,5.70259762758505,8.17094832806851,8.08206173095585,8.32096424056327,8.26305341496776,8.28677904060345
"EML2-AS1",5.97482345216655,5.68784034609422,6.3073710129339,5.67140058622951,5.61900910538021,5.44142226040367,6.52174886091516,5.5820669673285,6.35659788924318,6.18325881506408,7.43317608509494,6.60987828395646,6.05147319142153,5.95141673730996,6.96866690596023,6.0625611008296,5.47207358930543,5.1234897156231,6.20976905421039,5.46690348272494
"LOC100287497",5.96622332940107,5.86065302976768,6.82247968652826,5.11338545850049,6.54392207306767,6.78838529856355,8.6783002852901,6.4243315075491,5.14313531638586,4.93229524762529,6.24230026878836,4.80665005428533,6.65743642301688,6.78847531542362,7.69461504623201,6.87065117052262,5.29217335175298,5.67281466502332,7.18246509068608,5.65337515222151
"LOC100288637",7.24636469894242,6.97117384784637,4.3033962106104,7.36179731253496,6.89382678537047,6.97655103806756,4.93009216696245,7.29070202059515,6.38716833887936,6.23057566389283,4.28195160164626,5.8936855519542,6.553508578129,6.40010745414656,3.85390703820871,6.47418305935092,5.81822273788537,6.02104324262238,4.9838704043566,6.38110541274793
"ZNF587B",7.02004415034625,7.16879926435088,8.03673736506323,7.23932452280365,6.39786458150705,6.23413499535244,7.31094235600587,6.18611503627919,6.6467799772033,6.41957943321838,8.17959549151519,6.42730119141336,6.7044019607186,6.78070908063808,8.02281721669241,6.94357895402886,6.2034123229702,5.96789141866946,6.9708626860991,5.83342674654816
"MIR1205",6.30373697696824,6.2666201377315,4.45094843015535,6.40664277741348,7.09915764995297,6.61836919626088,4.30846115928202,6.35758346536052,6.53961930015401,6.77929205465168,4.71875480283965,6.81675715988919,6.16385500421357,5.58159313095031,4.49726724972632,5.31265620379318,5.09817231778853,4.41548496795246,4.43452656730059,4.83628776933317
"MIR1207",4.91404701822829,5.22780380386843,3.8798423720191,5.57907418517843,5.57553701582395,5.58333961442221,3.71735283480958,5.90877667558919,5.72775952328379,5.22709767682687,3.60040281894169,5.35924167220946,4.10902722381361,4.50275563466902,3.634628782784,4.29613203223459,3.67799751140746,3.87380202246231,3.0072345071873,3.80324716637471
"MIR1204",7.20322275026413,7.09129655942603,4.28845180485951,6.98565390965246,8.39466788756581,8.28183783480155,6.52546939483685,8.24308932276373,7.65208758317538,8.1808399335328,5.64650085215859,7.89658121985384,6.20037643514148,6.35359637485003,6.92960034619662,6.38320949146893,5.4200274091413,5.57799023607447,2.65446797876739,5.82324642130569
"VN1R108P",5.09660213953096,5.54098019250676,7.61932565410315,5.11382969582687,6.37323473020462,6.43920628238415,9.70634144713292,6.38644835263652,6.19998082879103,6.4683893521357,7.83090928641331,6.00396940755015,5.9477901427204,5.71851992233954,7.80451166058264,5.74082189742641,5.89021817929182,6.11804165946412,7.77573035859844,6.22214104135982
