"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","16657594","ISG15","9636","ISG15 ubiquitin like modifier",-0.160804058344985,7.10065376675612,-0.304405928939347,0.764030268419463,0.874418309436857,-6.65416793772564
"2","16657598","AGRN","375790","agrin",-1.05387174846227,7.38690916263177,-2.24886129859946,0.036204282032227,0.131086252338286,-4.37707125132917
"3","16657654","MIR429","554210","microRNA 429",-0.440147666897149,2.93412259760949,-1.3251899887729,0.200364824147322,0.398188022618358,-5.83183049113954
"4","16657767","VWA1","64856","von Willebrand factor A domain containing 1",-0.673438406911726,6.82145820937536,-2.3628709120006,0.0286101829459545,0.110887052845091,-4.16385403158976
"5","16658184","TPRG1L","127262","tumor protein p63 regulated 1 like",1.70629990000765,7.38409346579938,3.07337910984127,0.0061007551464308,0.0363278407362745,-2.72429358453633
"6","16658536","PER3","8863","period circadian regulator 3",-2.00326758890156,5.80549844742387,-9.34514288266314,1.18195455756884e-08,3.53511863127409e-06,10.1080491744272
"7","16658655","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",0.186603726797996,5.32448721915923,0.635211013438742,0.532644470330188,0.713678899050953,-6.49527156873699
"8","16659036","FBXO6","26270","F-box protein 6",0.0709157377164829,4.8349598431831,0.213729478844929,0.832967839875667,0.915624521614081,-6.67840694777757
"9","16659054","AGTRAP","57085","angiotensin II receptor associated protein",-0.411519082497512,6.35062482252711,-1.27086552023585,0.218668384362007,0.420466969345998,-5.89897727064925
"10","16659102","CLCN6","1185","chloride voltage-gated channel 6",1.81119080294573,7.83296304498757,5.48753701410546,2.43804349574592e-05,0.000679759584830853,2.6502671879639
"11","16659140","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",-1.71779194637331,8.65544757332903,-4.19370293683876,0.000465265960978321,0.00556627276952246,-0.242762180500049
"12","16659171","MFN2","9927","mitofusin 2",0.647058678800575,7.44280346482199,2.30571503260299,0.032211236133535,0.120769193024878,-4.27148968693721
"13","16659537","TMEM51","55092","transmembrane protein 51",-1.17712147491848,5.68056660941541,-1.66741171330241,0.111347796503719,0.276478679620554,-5.35734464093313
"14","16659605","EFHD2","79180","EF-hand domain family member D2",-1.28825641799974,6.66880997345392,-5.25457322159901,4.10501999557796e-05,0.000961246675121103,2.13759231448987
"15","16659746","FBLIM1","54751","filamin binding LIM protein 1",-0.205107821620912,5.36621610231476,-0.47655794236012,0.638951925516132,0.791026090290903,-6.58512940419003
"16","16659856","LOC101927479","101927479","uncharacterized LOC101927479",-0.223956159061365,4.88340133296072,-0.584920309914857,0.56528143212674,0.737573645577924,-6.52643980455634
"17","16659881","NECAP2","55707","NECAP endocytosis associated 2",0.237949394645304,7.26466748180769,0.830803656083962,0.416100666050969,0.624142292204063,-6.35089826337976
"18","16660269","OTUD3","23252","OTU deubiquitinase 3",-0.0160749951129429,6.18978056133405,-0.050893070110158,0.959926330536223,0.97949960503176,-6.7006895924681
"19","16660360","CDA","978","cytidine deaminase",0.28981827433963,6.7372331767982,0.282252042695763,0.780712113127082,0.885448591015559,-6.66086725911583
"20","16660403","NBPF3","84224","NBPF member 3",0.787403263749375,5.26886279809058,1.8698224568054,0.0765368988735156,0.217708915972948,-5.0385756289248
"21","16660596","EPHB2","2048","EPH receptor B2",-1.84422431398657,6.70347311061522,-3.64134298012025,0.00166978520936289,0.0140316720356296,-1.48339283902678
"22","16660620","MIR4684","100616391","microRNA 4684",-0.563206983884103,3.50581573567029,-1.78903618146376,0.0890912474219331,0.24005749714837,-5.16894124835061
"23","16660648","MIR3115","100422866","microRNA 3115",-0.93031352823566,3.78806169942259,-1.73941552672511,0.0976590406079925,0.25530253762439,-5.24697456996024
"24","16660757","GRHL3","57822","grainyhead like transcription factor 3",-0.545308249292066,4.62456685415542,-0.935865346953292,0.36074238681208,0.572662220801806,-6.25854602367168
"25","16660810","RCAN3","11123","RCAN family member 3",-1.39094830941145,5.61554009197584,-2.6520382608078,0.0154743010112414,0.0706598894198255,-3.59851664140438
"26","16660863","CLIC4","25932","chloride intracellular channel 4",-0.37017934269382,8.87407619895766,-1.04589947693161,0.308347950644699,0.521173777354771,-6.15112756166641
"27","16660976","SELENON","57190","selenoprotein N",-1.68739574556288,7.61734914617542,-5.79052715671394,1.24901563088147e-05,0.000434842478899475,3.30866383206913
"28","16661071","CNKSR1","10256","connector enhancer of kinase suppressor of Ras 1",0.0574494402259083,5.92708988397695,0.108127961962632,0.914994527677263,0.958966692642724,-6.69597888817058
"29","16661141","SH3BGRL3","83442","SH3 domain binding glutamate rich protein like 3",-0.829671387068247,7.67918399149088,-2.35245932560721,0.0292370341219478,0.112861537614012,-4.18356983055092
"30","16661206","RPS6KA1","6195","ribosomal protein S6 kinase A1",-0.593028054873374,5.91262384705589,-2.56237718765476,0.0187688678566041,0.0808240513720255,-3.77727881706502
"31","16661255","ARID1A","8289","AT-rich interaction domain 1A",-0.787437625540663,7.39112619487683,-3.41878258752599,0.00278483476345891,0.0204852182885954,-1.97582467243171
"32","16661314","SFN","2810","stratifin",-0.819193822130748,8.77169916161296,-1.63338677954272,0.118364918979961,0.287820091237303,-5.40828767191902
"33","16661342","TRNP1","388610","TMF1 regulated nuclear protein 1",-0.639065776007124,5.36373688934771,-1.56568391154385,0.133441519651382,0.310044208794524,-5.50727273190708
"34","16661351","WDTC1","23038","WD and tetratricopeptide repeats 1",0.772173110367181,7.48660459138974,2.63762371256726,0.0159642044366948,0.0722451617561566,-3.62745080493201
"35","16661508","SMPDL3B","27293","sphingomyelin phosphodiesterase acid like 3B",-0.898808629825107,6.29861621313625,-1.23157802015446,0.232693878029707,0.438843713796352,-5.94605588065208
"36","16661544","SESN2","83667","sestrin 2",1.18680125792309,7.2642128605328,2.02381792835234,0.0568515677405101,0.178035851366996,-4.7792656817981
"37","16661567","PHACTR4","65979","phosphatase and actin regulator 4",-0.498210795630473,8.273763186295,-1.81593178900049,0.084725716232717,0.232871851633784,-5.1259900932821
"38","16661617","TRNAU1AP","54952","tRNA selenocysteine 1 associated protein 1",0.127459218679558,6.05014179908535,0.364140774137395,0.719655515504011,0.846048470969518,-6.63361079224109
"39","16661636","RAB42","115273","RAB42, member RAS oncogene family",-0.40884433241953,4.70524672344877,-0.543993856476539,0.592586784959928,0.757277344151549,-6.54997255173532
"40","16661687","EPB41","2035","erythrocyte membrane protein band 4.1",0.695929772582389,7.70998034988908,1.86736143535617,0.0768951507889854,0.218090556979105,-5.04260635202931
"41","16661730","PTPRU","10076","protein tyrosine phosphatase receptor type U",-0.952218992552337,6.30673653222532,-2.06372223783217,0.0525527577278847,0.168025824027931,-4.70988121906198
"42","16661832","SERINC2","347735","serine incorporator 2",-0.17201680680129,7.03904177283163,-0.349496519086261,0.73044737547964,0.853651809842946,-6.63898628357061
"43","16661862","TINAGL1","64129","tubulointerstitial nephritis antigen like 1",-1.49243191771416,6.69094079422552,-2.05268014730393,0.0537120419596751,0.17070208819136,-4.72916777256155
"44","16662077","HDAC1","3065","histone deacetylase 1",-1.35665564466644,8.11401506805896,-3.01890317852942,0.0068938015581342,0.0395427945704689,-2.84006763066038
