"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","16657594","ISG15","9636","ISG15 ubiquitin like modifier",-0.262228314981766,7.10065376675612,-0.49640447285834,0.625135841623491,0.775754163203642,-6.5861303075907
"2","16657598","AGRN","375790","agrin",-1.02159854470368,7.38690916263177,-2.17999337513496,0.0416477663489225,0.142099850787577,-4.5130170658338
"3","16657654","MIR429","554210","microRNA 429",-0.261546978966992,2.93412259760949,-0.787461718391533,0.440440316318243,0.634156954348805,-6.39683536555489
"4","16657767","VWA1","64856","von Willebrand factor A domain containing 1",-0.722344478253275,6.82145820937536,-2.53446601588413,0.0199226467193957,0.084248724558884,-3.84216509932751
"5","16658184","TPRG1L","127262","tumor protein p63 regulated 1 like",1.51651176188196,7.38409346579938,2.73153363530978,0.0130187809833001,0.0618063339611218,-3.44734001910188
"6","16658536","PER3","8863","period circadian regulator 3",-2.07646845167951,5.80549844742387,-9.68662123811798,6.59506916547012e-09,2.41086417271075e-06,10.6718174111922
"7","16658655","SPSB1","80176","splA/ryanodine receptor domain and SOCS box containing 1",0.172467166547726,5.32448721915923,0.587089258760002,0.563852705791537,0.730121119896018,-6.53600782429971
"8","16659036","FBXO6","26270","F-box protein 6",0.298039160262306,4.8349598431831,0.89824567083982,0.379967682187632,0.581033546082876,-6.30356109367894
"9","16659054","AGTRAP","57085","angiotensin II receptor associated protein",-0.60678967776701,6.35062482252711,-1.87390600413719,0.0759456899988789,0.213739367062713,-5.0422103854562
"10","16659102","CLCN6","1185","chloride voltage-gated channel 6",1.82690419004859,7.83296304498757,5.53514535730359,2.19333419518245e-05,0.000639518920187161,2.74848650848495
"11","16659140","PLOD1","5351","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",-1.70597550426494,8.65544757332903,-4.16485506147324,0.000497397880156549,0.00572486071501094,-0.315932239079653
"12","16659171","MFN2","9927","mitofusin 2",0.565333851586773,7.44280346482199,2.01449853428936,0.057899892467409,0.178365745079636,-4.80558363607567
"13","16659537","TMEM51","55092","transmembrane protein 51",-1.28798541998726,5.68056660941541,-1.82445229452485,0.0833821551291996,0.228415728871829,-5.1226501536002
"14","16659605","EFHD2","79180","EF-hand domain family member D2",-1.28118591333476,6.66880997345392,-5.22573386636142,4.3801735238655e-05,0.000990430989245188,2.0673500047101
"15","16659746","FBLIM1","54751","filamin binding LIM protein 1",-0.241654015704007,5.36621610231476,-0.561471228044188,0.580846496890172,0.742130087288802,-6.55099114745197
"16","16659856","LOC101927479","101927479","uncharacterized LOC101927479",-0.250175845808462,4.88340133296072,-0.653399905931594,0.521098169928992,0.698904598070275,-6.49423911220594
"17","16659881","NECAP2","55707","NECAP endocytosis associated 2",0.180124330054088,7.26466748180769,0.628906630259267,0.536678851971159,0.709533222015316,-6.51016678054407
"18","16660269","OTUD3","23252","OTU deubiquitinase 3",-0.089006885787577,6.18978056133405,-0.281793782632429,0.781058365661575,0.876575822284353,-6.67190623210812
"19","16660360","CDA","978","cytidine deaminase",0.28157177681504,6.7372331767982,0.274220834944269,0.786787066546818,0.879938584319741,-6.67407836841768
"20","16660403","NBPF3","84224","NBPF member 3",0.62879513120593,5.26886279809058,1.49318057364946,0.151329248250879,0.330812775246108,-5.6202062179014
"21","16660596","EPHB2","2048","EPH receptor B2",-1.91717728618831,6.70347311061522,-3.78538554109891,0.0011973456751982,0.010942409087228,-1.17029792970954
"22","16660620","MIR4684","100616391","microRNA 4684",-0.473750043914875,3.50581573567029,-1.50487475082192,0.148317235565485,0.326726052846031,-5.60394406370078
"23","16660648","MIR3115","100422866","microRNA 3115",-0.889721570951449,3.78806169942259,-1.6635203810378,0.112131997958559,0.275206470185497,-5.3736660981158
"24","16660757","GRHL3","57822","grainyhead like transcription factor 3",-0.374290830839175,4.62456685415542,-0.642362954749887,0.528087815736762,0.703119754663677,-6.50148847009349
"25","16660810","RCAN3","11123","RCAN family member 3",-1.5440537855012,5.61554009197584,-2.94395534915812,0.00814945897209383,0.0441344288868106,-3.00761862103336
